Composition,Citation,Phase,Density,HV,TestType,YieldStrength,UltimateStrength,Elongation,YoungsModulus
CoFeNi,4,FCC,8.5,125,C,204,NaN,NaN,207
CoFeNi,4,FCC,8.5,125,C,209,NaN,NaN,207
CoFeNi,5,FCC,8.5,NaN,T,211,513,31,207
CoFeNiSi0.25,4,FCC,7.7,149,C,196,NaN,NaN,194
CoFeNiSi0.5,4,FCC + Im,7.1,287,C,476,NaN,NaN,NaN
CoFeNiSi0.75,4,FCC + Im,6.6,570,C,1301,NaN,NaN,NaN
Al0.25CoFeNi,4,FCC,7.9,138,C,158,NaN,NaN,196
Al0.5CoFeNi,4,FCC + BCC,7.4,212,C,346,NaN,NaN,187
Al0.75CoFeNi,4,FCC + BCC,7,385,C,794,NaN,NaN,179
CoCrFeNi,6,FCC,8.2,NaN,T,148,413,48,225
CoCrFeNi,7,FCC,8.2,116,NaN,NaN,NaN,NaN,225
CoCrFeNi,7,FCC,8.2,113,NaN,NaN,NaN,NaN,225
CoCrFeMo0.5Ni,8,FCC + Im,8.5,210,NaN,NaN,NaN,NaN,NaN
CoCrFeNb0.103Ni,6,FCC + Im,8.2,NaN,T,318,622,19,NaN
CoCrFeNb0.155Ni,6,FCC + Im,8.2,NaN,T,322,744,23,NaN
CoCrFeNb0.206Ni,6,FCC + Im,8.2,NaN,T,403,807,9,NaN
CoCrFeNb0.309Ni,6,FCC + Im,8.2,NaN,T,479,879,4,NaN
CoCrFeNb0.412Ni,6,FCC + Im,8.2,NaN,T,638,1004,1,NaN
CoCrFeNiTi,9,FCC,7.2,NaN,C,NaN,2020,9,135
Co1.5CrFeNi1.5Ti0.5,10,FCC,7.8,509,NaN,NaN,NaN,NaN,211
Co1.5CrFeNi1.5Ti,10,FCC + Im,7.4,654,NaN,NaN,NaN,NaN,NaN
Al0.25CoCrFeNi,7,FCC,7.7,110,NaN,NaN,NaN,NaN,216
Al0.25CoCrFeNi,7,FCC,7.7,113,NaN,NaN,NaN,NaN,216
Al0.375CoCrFeNi,7,FCC,7.5,131,NaN,NaN,NaN,NaN,211
Al0.375CoCrFeNi,7,FCC,7.5,196,NaN,NaN,NaN,NaN,211
Al0.5CoCrFeNi,7,FCC + BCC,7.3,159,NaN,NaN,NaN,NaN,208
Al0.5CoCrFeNi,7,FCC + BCC,7.3,209,NaN,NaN,NaN,NaN,208
Al0.7Co0.3CrFeNi,11,FCC + BCC + B2,6.8,624,C,2033,2635,8,NaN
Al0.75CoCrFeNi,7,FCC + BCC,7,388,NaN,NaN,NaN,NaN,200
Al0.75CoCrFeNi,7,FCC + BCC,7,280,NaN,NaN,NaN,NaN,200
Al0.875CoCrFeNi,12,FCC + BCC,6.9,NaN,NaN,NaN,NaN,NaN,197
Al0.875CoCrFeNi,7,BCC,6.9,538,NaN,NaN,NaN,NaN,197
Al0.875CoCrFeNi,7,FCC + BCC,6.9,361,NaN,NaN,NaN,NaN,197
AlCoCrFeNi,7,BCC,6.7,484,NaN,NaN,NaN,NaN,194
AlCoCrFeNi,7,FCC + BCC,6.7,433,NaN,NaN,NaN,NaN,194
AlCoCrFeNi,13,BCC,6.7,395,NaN,NaN,NaN,NaN,194
AlCoCrFeNi,14,BCC,6.7,NaN,C,1251,2004,33,194
AlCoCrFeNi,15,BCC,6.7,NaN,C,1051,NaN,NaN,194
AlCoCrFeNi,16,BCC,6.7,NaN,C,1110,NaN,NaN,194
AlCoCrFeNi,17,BCC,6.7,NaN,C,1138,NaN,NaN,125
AlCoCrFeNi,18,BCC,6.7,NaN,C,1138,NaN,11,125
AlCoCrFeNi,19,BCC,6.7,NaN,C,1051,NaN,NaN,194
AlCoCrFeNi,20,BCC,6.7,520,C,1373,3531,25,194
Al1.25CoCrFeNi,7,BCC,6.5,487,NaN,NaN,NaN,NaN,188
Al1.25CoCrFeNi,7,BCC,6.5,499,NaN,NaN,NaN,NaN,188
Al1.5CoCrFeNi,7,BCC,6.2,484,NaN,NaN,NaN,NaN,183
Al1.5CoCrFeNi,7,BCC,6.2,517,NaN,NaN,NaN,NaN,183
Al1.5CoCrFeNi,13,BCC,6.2,402,NaN,NaN,NaN,NaN,183
Al2CoCrFeNi,7,BCC,5.9,509,NaN,NaN,NaN,NaN,173
Al2CoCrFeNi,7,BCC,5.9,512,NaN,NaN,NaN,NaN,173
Al2CoCrFeNi,13,BCC,5.9,432,NaN,NaN,NaN,NaN,173
Al2.5CoCrFeNi,13,BCC,5.6,487,NaN,NaN,NaN,NaN,165
Al3CoCrFeNi,13,BCC,5.3,506,NaN,NaN,NaN,NaN,158
AlC0.1CoCrFeNi,18,BCC + Im,6.7,NaN,C,957,2550,11,213
AlC0.2CoCrFeNi,18,BCC + Im,6.8,NaN,C,906,2386,9,151
AlC0.3CoCrFeNi,18,BCC + Im,6.8,NaN,C,867,2178,8,137
AlC0.4CoCrFeNi,18,BCC + Im,6.8,NaN,C,1056,2375,7,156
AlC0.5CoCrFeNi,18,BCC + Im,6.8,NaN,C,1060,2250,6,181
AlCCoCrFeNi,18,BCC + Im,6.9,NaN,C,1251,2166,7,75
AlC1.5CoCrFeNi,18,BCC + Im,7,NaN,C,1255,2083,6,73
Al0.5CoCrFeMo0.5Ni,8,FCC + Im,7.7,425,NaN,NaN,NaN,NaN,NaN
AlCo0.5CrFeMo0.5Ni,21,BCC + Im,7,801,NaN,NaN,NaN,NaN,NaN
AlCoCrFe0.5Mo0.5Ni,22,BCC + Im,7,755,NaN,NaN,NaN,NaN,NaN
AlCoCrFe0.6Mo0.5Ni,22,BCC + Im,7.1,754,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.1Ni,19,BCC,6.8,NaN,C,1804,2280,9,196
AlCoCrFeMo0.2Ni,19,BCC + Im,6.9,NaN,C,2456,2953,3,NaN
AlCoCrFeMo0.3Ni,19,BCC + Im,7,NaN,C,2649,3208,3,NaN
AlCoCrFeMo0.4Ni,19,BCC + Im,7,NaN,C,2670,3161,3,NaN
AlCoCrFeMo0.5Ni0.5,23,BCC + Im,7,708,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.5Ni,19,BCC + Im,7.1,NaN,C,2757,3036,3,NaN
AlCoCrFeMo0.5Ni,21,BCC + Im,7.1,796,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.5Ni,8,BCC + Im,7.1,715,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.5Ni,23,BCC + Im,7.1,730,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.5Ni1.5,23,FCC + BCC + Im,7.2,586,NaN,NaN,NaN,NaN,NaN
AlCoCrFeMo0.5Ni2,23,FCC + BCC + Im,7.4,395,NaN,NaN,NaN,NaN,NaN
AlCo1.5CrFeMo0.5Ni,21,BCC + Im,7.2,741,NaN,NaN,NaN,NaN,NaN
AlCo2CrFeMo0.5Ni,21,FCC + BCC + Im,7.3,586,NaN,NaN,NaN,NaN,NaN
AlCoCrFe1.5Mo0.5Ni,22,BCC + Im,7.2,635,NaN,NaN,NaN,NaN,NaN
AlCoCrFe2Mo0.5Ni,22,BCC + Im,7.2,639,NaN,NaN,NaN,NaN,NaN
Al1.5CoCrFeMo0.5Ni,8,BCC + Im,6.6,655,NaN,NaN,NaN,NaN,NaN
Al2CoCrFeMo0.5Ni,8,BCC,6.3,605,NaN,NaN,NaN,NaN,185
AlCoCrFeNb0.1Ni,20,BCC,6.8,569,C,1641,3285,17,192
AlCoCrFeNb0.25Ni,20,BCC + Im,6.8,668,C,1959,3008,11,NaN
AlCoCrFeNb0.5Ni,20,BCC + Im,7,747,C,2473,3170,4,NaN
AlCoCrFeNb0.75Ni,20,BCC + Im,7,NaN,NaN,NaN,NaN,NaN,NaN
AlCoCrFeNiSi0.2,24,BCC,6.5,NaN,C,1265,2173,14,188
AlCoCrFeNiSi0.4,24,BCC,6.2,NaN,C,1481,2444,13,183
AlCoCrFeNiSi0.6,24,BCC,6,NaN,C,1834,2195,3,178
